RXCUI,NDC,SUPPRESS
310429,43063080630,N
310429,43063080690,N
310429,43063084921,N
310429,43063084930,N
310429,43063084960,N
310429,43063084990,N
310429,43353022030,N
310429,43353022045,N
310429,43353022053,N
310429,43353022060,N
310429,43353022080,N
310429,43353022092,N
310429,43353073730,N
310429,43353073745,N
310429,43353073753,N
310429,43353073760,N
310429,43353073780,N
310429,43353073792,N
310429,43353074730,N
310429,43353074745,N
310429,43353074753,N
310429,43353074760,N
310429,43353074780,N
310429,43353074792,N
310429,43547040110,N
310429,43547040111,N
310429,43547040151,N
310429,49999014930,N
310429,49999017910,N
310429,49999017930,N
310429,49999017940,N
310429,49999017990,N
310429,50090256000,N
310429,50090256001,N
310429,50090256007,N
310429,50090256008,N
310429,50090295100,N
310429,50090333800,N
310429,50090333801,N
310429,50090333807,N
310429,50090333808,N
310429,50090542900,N
310429,50090542901,N
310429,50090542908,N
310429,50742010401,N
310429,50742010410,N
310429,51079007201,N
310429,51079007217,N
310429,51079007220,N
310429,51079007230,N
310429,51079007256,N
310429,51407011301,N
310429,51407011310,N
310429,51407011351,N
310429,51407011390,N
310429,52959049900,N
310429,52959049930,N
310429,55154553900,N
310429,55154632800,N
310429,55289059301,N
310429,55289059330,N
310429,55289059390,N
310429,55700046130,N
310429,55700046160,N
310429,55700046190,N
310429,55887099701,N
310429,55887099714,N
310429,55887099715,N
310429,58118014308,N
310429,58864022001,N
310429,58864022030,N
310429,60760021690,N
310429,60760062490,N
310429,60760070790,N
310429,61919024230,N
310429,61919024290,N
310429,61919044230,N
310429,61919044290,N
310429,63187043790,N
310429,63187051730,N
310429,63187051760,N
310429,63187051790,N
310429,63187073910,N
310429,63187073930,N
310429,63187073960,N
310429,63187073990,N
310429,63629121401,N
310429,63629121501,N
310429,63629268301,N
310429,63629268302,N
310429,63629805701,N
310429,63629805702,N
310429,63739054101,N
310429,63874040001,N
310429,63874040002,N
310429,63874040010,N
310429,63874040012,N
310429,63874040014,N
310429,63874040015,N
310429,63874040020,N
310429,63874040021,N
310429,63874040030,N
310429,63874040050,N
310429,63874040060,N
310429,63874040090,N
310429,66267009730,N
310429,66267009760,N
310429,66267009790,N
310429,66336076130,N
310429,67296069101,N
310429,67296120601,N
310429,67296120603,N
310429,67296154701,N
310429,67296154703,N
310429,67296166501,N
310429,67296166503,N
310429,67296166506,N
310429,67296166509,N
310429,67544024430,N
310429,68071009701,N
310429,68071170801,N
310429,68071231303,N
310429,68071319409,N
310429,68071434901,N
310429,68071434903,N
310429,68071434906,N
310429,68071434908,N
310429,68071434909,N
310429,68071453401,N
310429,68387036530,N
310429,68788694801,N
310429,68788694803,N
310429,68788694806,N
310429,68788694809,N
310429,68788726501,N
310429,68788726503,N
310429,68788726506,N
